Word,Frequency
the,1560
r.m.s,105
titanic,405
is,105
perhaps,15
most,90
famous,30
shipwreck,60
in,450
our,30
current,15
popular,15
culture,30
was,225
a,450
british-registered,30
ship,75
white,30
star,30
line,30
that,75
owned,30
by,195
u.s,45
company,30
which,45
famed,15
american,90
financier,15
john,15
pierpont,15
"""jp""",15
morgan,30
major,60
stockholder,15
built,15
belfast,15
northern,15
ireland,15
harland,15
&,15
wolff,15
for,210
transatlantic,15
passage,15
between,15
southampton,30
england,15
and,720
new,45
york,30
city,15
it,75
largest,15
luxurious,15
passenger,30
of,930
its,150
time,30
reported,15
to,330
be,45
unsinkable,15
launched,15
on,225
may,30
31,30
1911,15
set,30
sail,15
maiden,15
voyage,30
from,90
april,30
10,15
1912,30
with,90
"2,240",15
passengers,75
crew,30
board,30
15,15
after,30
striking,15
an,75
iceberg,15
broke,15
apart,15
sank,15
bottom,15
ocean,75
taking,15
lives,60
more,30
than,15
"1,500",15
while,15
there,30
has,90
been,45
some,15
salvage,75
outside,15
hull,15
portions,15
remains,30
final,15
resting,15
place,15
"12,000",15
feet,30
below,30
sea,45
level,15
over,15
350,30
nautical,45
miles,45
off,45
coast,45
newfoundland,30
canada,15
story,60
disaster,45
human,15
drama,15
continues,15
recounted,15
numerous,15
books,30
articles,30
movies,15
recognized,15
united,195
states,180
congress,75
national,60
international,150
significance,120
many,45
ways,15
become,30
cultural,45
icon,30
also,45
resulted,30
number,15
memorials,30
around,45
world,60
are,45
washington,15
d.c,15
offsite,105
link,90
link;,15
widener,30
library,15
linkat,15
harvard,15
university,15
another,15
memorial,75
commemorating,15
henry,15
elkins,15
victim,15
sinking,90
investigation,15
development,15
measures,30
safety,75
navigation,60
one,30
deadliest,15
peacetime,15
maritime,120
disasters,15
history,60
quickly,15
became,15
catalyst,15
change,15
held,30
hearings,15
casualty,15
report,15
improve,15
similar,15
investigations,15
were,60
kingdom,15
community,15
readily,15
came,15
together,15
purpose,15
establishing,15
global,15
standards,15
regulations,15
promote,15
important,30
convention,15
life,30
at,60
(solas),15
widely,15
regarded,15
as,240
all,15
agreements,15
merchant,15
ships,15
radio,15
acoustic,15
ranging,15
developed,15
geodetic,15
survey,30
(uscgs,15
noaa,15
predecessor,15
agency),15
1924,15
had,15
roots,15
transmission,15
reception,15
sound,15
waves,15
led,30
invention,15
sonar,30
uscgs,15
hydrographic,15
offices,15
grasped,15
power,15
underwater,30
search,15
tool,15
way,15
measure,15
depths,15
today,45
accurate,15
precise,15
charts,15
produced,15
data,30
acquired,15
vessels,15
equipped,15
echo-sounding,15
technology,15
discovery,45
wreck,120
site,75
team,30
explorers,15
france,15
discovered,45
september,15
1,15
1985,30
joint,15
american-french,15
expedition,15
dr,30
robert,30
ballard,45
woods,30
hole,30
oceanographic,30
institution,30
jean-louis,15
michel,15
french,15
research,30
institute,15
exploration,30
(ifremer),15
found,15
approximately,15
(nm),15
canadian,15
waters,15
two,15
half,15
surface,15
(depth,15
"12,500",15
or,15
"3,800",15
meters),15
shortly,15
testified,15
before,15
encourage,15
enactment,15
legislation,15
designate,15
july,15
1986,30
plaque,15
placed,15
recording,15
previous,15
year,15
calling,15
left,15
undisturbed,15
memory,15
those,45
who,75
perished,15
aboard,15
her,45
1987,15
working,15
ifremer,15
returned,30
began,15
artifacts,30
artifact,45
field,15
information,15
please,15
visit,15
related,15
page,15
acts,15
protect,15
through,15
cooperation,15
recognizing,15
great,15
historical,30
passed,15
act,30
(1986,15
act),15
directing,15
(1),15
begin,15
negotiation,15
agreement,15
initiate,15
multinational,15
conservation,15
efforts;,15
(2),15
develop,15
guidelines,15
calls,15
recognition,15
behalf,15
lost,60
their,75
tragic,15
holds,15
exceptional,30
greatest,15
jewels,15
heritage,15
american-owned,30
represents,30
tangible,15
operated,15
british,15
subsidiary,15
mercantile,15
marine,30
co,15
jersey,15
industrial,15
tycoon,15
j.p,15
majority,15
shareholder,15
oceanographer,15
foreign,15
partners,15
closely,15
connected,15
academic,15
fields,15
science,15
100th,15
birthday,15
2010,15
"""archaeological",15
resource,15
"site""",15
defined,15
within,15
archaeological,30
resources,15
protection,15
continue,15
advance,15
scientific,15
understanding,15
process,15
preservation,15
bio-deterioration,15
inspired,15
creative,15
genius,15
lawmakers,15
historians,15
filmmakers,15
enthusiasts,15
provided,15
storyline,15
countless,15
films,15
documentaries,15
including,15
academy,15
award,15
winning,15
james,15
cameron,15
megahit,15
these,30
stand,15
testaments,15
assumed,15
pop,15
well,15
however,15
ship’s,15
status,15
surpassed,15
ultimate,15
honor,15
306,15
119,15
never,15
rescued,15
surviving,15
whom,15
family,15
friends,15
2006,15
age,30
99,15
lillian,15
asplund,15
last,15
living,30
survivor,15
died,30
massachusetts,15
five,15
she,15
father,15
three,15
brothers,15
(including,15
twin,15
brother,15
five-year-old,15
carl),15
other,15
onboard,15
foreign-born,15
immigrants,45
traveling,15
poignant,15
powerful,15
recovered,30
declaration,15
intent,15
citizen,15
filled,15
out,15
did,30
not,30
survive,30
but,15
whose,15
well-preserved,15
luggage,15
this,30
reminder,15
individuals,15
them,15
dream,15
tragedy,15
hardship,15
struggle,15
faced,15
during,15
period,15
they,15
across,15
atlantic,15
hopes,15
better,15
brighter,15
future,15
themselves,15
families,15
tell,15
millions,15
americans,15
legacy,15
made,15
same,15
trans-atlantic,15
intended,15
america,15
